央视频道,#genre#
CCTV-3综艺,http://111.192.0.32:4022/rtp/239.3.1.172:8001$北京联通
CCTV-4中文国际,http://111.192.0.32:4022/rtp/239.3.1.105:8092$北京联通
CCTV-5体育,http://111.192.0.32:4022/rtp/239.3.1.173:8001$北京联通
CCTV-5+体育赛事,http://111.192.0.32:4022/rtp/239.3.1.130:8004$北京联通
CCTV-6电影,http://111.192.0.32:4022/rtp/239.3.1.174:8001$北京联通
CCTV-7国防军事,http://111.192.0.32:4022/rtp/239.3.1.61:8104$北京联通
CCTV-8电视剧,http://111.192.0.32:4022/rtp/239.3.1.175:8001$北京联通
CCTV-9纪录,http://111.192.0.32:4022/rtp/239.3.1.62:8112$北京联通
CCTV-10科教,http://111.192.0.32:4022/rtp/239.3.1.63:8116$北京联通
CCTV-11戏曲,http://111.192.0.32:4022/rtp/239.3.1.152:8120$北京联通
CCTV-12社会与法,http://111.192.0.32:4022/rtp/239.3.1.64:8124$北京联通
CCTV-13新闻,http://111.192.0.32:4022/rtp/239.3.1.124:8128$北京联通
CCTV-14少儿,http://111.192.0.32:4022/rtp/239.3.1.65:8132$北京联通
CCTV-15音乐,http://111.192.0.32:4022/rtp/239.3.1.153:8136$北京联通
CCTV-16奥林匹克,http://111.192.0.32:4022/rtp/239.3.1.184:8001$北京联通
CCTV-17农业农村,http://111.192.0.32:4022/rtp/239.3.1.151:8144$北京联通

CCTV-1综合,http://221.217.54.246:8686/rtp/239.3.1.129:8008$北京联通
CCTV-2财经,http://221.217.54.246:8686/rtp/239.3.1.60:8084$北京联通
CCTV-3综艺,http://221.217.54.246:8686/rtp/239.3.1.172:8001$北京联通
CCTV-4中文国际,http://221.217.54.246:8686/rtp/239.3.1.105:8092$北京联通
CCTV-5体育,http://221.217.54.246:8686/rtp/239.3.1.173:8001$北京联通
CCTV-5+体育赛事,http://221.217.54.246:8686/rtp/239.3.1.130:8004$北京联通
CCTV-6电影,http://221.217.54.246:8686/rtp/239.3.1.174:8001$北京联通
CCTV-7国防军事,http://221.217.54.246:8686/rtp/239.3.1.61:8104$北京联通
CCTV-8电视剧,http://221.217.54.246:8686/rtp/239.3.1.175:8001$北京联通
CCTV-9纪录,http://221.217.54.246:8686/rtp/239.3.1.62:8112$北京联通
